Word,Frequency
Astrophysics of Galaxies (astro-ph.GA),8164
High Energy Astrophysical Phenomena (astro-ph.HE),6798
Solar and Stellar Astrophysics (astro-ph.SR),6181
Cosmology and Nongalactic Astrophysics (astro-ph.CO),5798
Instrumentation and Methods for Astrophysics (astro-ph.IM),3981
Earth and Planetary Astrophysics (astro-ph.EP),3804
General Relativity and Quantum Cosmology (gr-qc),3175
High Energy Physics - Phenomenology (hep-ph),2379
High Energy Physics - Theory (hep-th),1299
Space Physics (physics.space-ph),709
